state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
KS,128,415, no, yes,25,2651,110,4507,1974,99,1678,2447,91,1101,10,3,27,1, False
OH,107,415, no, yes,26,1616,123,2747,1955,103,1662,2544,103,1145,137,3,37,1, False
NJ,137,415, no, no,0,2434,114,4138,1212,110,103,1626,104,732,122,5,329,0, False
OH,84,408, yes, no,0,2994,71,509,619,88,526,1969,89,886,66,7,178,2, False
OK,75,415, yes, no,0,1667,113,2834,1483,122,1261,1869,121,841,101,3,273,3, False
AL,118,510, yes, no,0,2234,98,3798,2206,101,1875,2039,118,918,63,6,17,0, False
MA,121,510, no, yes,24,2182,88,3709,3485,108,2962,2126,118,957,75,7,203,3, False
MO,147,415, yes, no,0,157,79,2669,1031,94,876,2118,96,953,71,6,192,0, False
LA,117,408, no, no,0,1845,97,3137,3516,80,2989,2158,90,971,87,4,235,1, False
WV,141,415, yes, yes,37,2586,84,4396,222,111,1887,3264,97,1469,112,5,302,0, False
IN,65,415, no, no,0,1291,137,2195,2285,83,1942,2088,111,94,127,6,343,4, True
RI,74,415, no, no,0,1877,127,3191,1634,148,1389,196,94,882,91,5,246,0, False
IA,168,408, no, no,0,1288,96,219,1049,71,892,1411,128,635,112,2,302,1, False
MT,95,510, no, no,0,1566,88,2662,2476,75,2105,1923,115,865,123,5,332,3, False
IA,62,415, no, no,0,1207,70,2052,3072,76,2611,203,99,914,131,6,354,4, False
NY,161,415, no, no,0,3329,67,5659,3178,97,2701,1606,128,723,54,9,146,4, True
ID,85,408, no, yes,27,1964,139,3339,2809,90,2388,893,75,402,138,4,373,1, False
VT,93,510, no, no,0,1907,114,3242,2182,111,1855,1296,121,583,81,3,219,3, False
VA,76,510, no, yes,33,1897,66,3225,2128,65,1809,1657,108,746,10,5,27,1, False
TX,73,415, no, no,0,2244,90,3815,1595,88,1356,1928,74,868,13,2,351,1, False
FL,147,415, no, no,0,1551,117,2637,2397,93,2037,2088,133,94,106,4,286,0, False
CO,77,408, no, no,0,624,89,1061,1699,121,1444,2096,64,943,57,6,154,5, True
AZ,130,415, no, no,0,183,112,3111,729,99,62,1818,78,818,95,19,257,0, False
SC,111,415, no, no,0,1104,103,1877,1373,102,1167,1896,105,853,77,6,208,2, False
VA,132,510, no, no,0,811,86,1379,2452,72,2084,237,115,1067,103,2,278,0, False
NE,174,415, no, no,0,1243,76,2113,2771,112,2355,2507,115,1128,155,5,419,3, False
WY,57,408, no, yes,39,213,115,3621,1911,112,1624,1827,115,822,95,3,257,0, False
MT,54,408, no, no,0,1343,73,2283,1555,100,1322,1021,68,459,147,4,397,3, False
MO,20,415, no, no,0,190,109,323,2582,84,2195,1815,102,817,63,6,17,0, False
HI,49,510, no, no,0,1193,117,2028,2151,109,1828,1787,90,804,111,1,3,1, False
IL,142,415, no, no,0,848,95,1442,1367,63,1162,2505,148,1127,142,6,383,2, False
NH,75,510, no, no,0,2261,105,3844,2015,107,1713,2462,98,1108,103,5,278,1, False
LA,172,408, no, no,0,212,121,3604,312,115,265,2933,78,132,126,10,34,3, False
AZ,12,408, no, no,0,2496,118,4243,2524,119,2145,2802,90,1261,118,3,319,1, True
OK,57,408, no, yes,25,1768,94,3006,195,75,1658,2135,116,961,83,4,224,0, False
GA,72,415, no, yes,37,220,80,374,2173,102,1847,1528,71,688,147,6,397,3, False
AK,36,408, no, yes,30,1463,128,2487,1625,80,1381,1293,109,582,145,6,392,0, False
MA,78,415, no, no,0,1308,64,2224,2237,116,1901,2278,108,1025,10,5,27,1, False
AK,136,415, yes, yes,33,2039,106,3466,1876,99,1595,1017,107,458,105,6,284,3, False
NJ,149,408, no, no,0,1404,94,2387,2718,92,231,1883,108,847,111,9,3,1, False
GA,98,408, no, no,0,1263,102,2147,1668,85,1418,1878,135,845,94,2,254,3, False
MD,135,408, yes, yes,41,1731,85,2943,2039,107,1733,1222,78,55,146,15,394,0, True
AR,34,510, no, no,0,1248,82,2122,2822,98,2399,3115,78,1402,10,4,27,2, False
ID,160,415, no, no,0,858,77,1459,1653,110,1405,1785,92,803,92,4,248,3, False
WI,64,510, no, no,0,154,67,2618,2258,118,1919,2653,86,1194,35,3,95,1, False
OR,59,408, no, yes,28,1209,97,2055,213,92,1811,1631,116,734,85,5,23,2, False
MI,65,415, no, no,0,2113,120,3592,1626,122,1382,1347,118,606,132,5,356,3, False
DE,142,408, no, no,0,187,133,3179,1346,74,1144,2422,127,109,74,5,2,2, False
ID,119,415, no, no,0,1591,114,2705,2313,117,1966,1432,91,644,88,3,238,5, True
WY,97,415, no, yes,24,1332,135,2264,2172,58,1846,706,79,318,11,3,297,1, False
IA,52,408, no, no,0,1919,108,3262,2698,96,2293,2368,87,1066,78,5,211,3, False
IN,60,408, no, no,0,2206,57,375,2111,115,1794,249,129,1121,68,3,184,1, False
VA,10,408, no, no,0,1861,112,3164,1902,66,1617,2828,57,1273,114,6,308,2, False
UT,96,415, no, no,0,1602,117,2723,2675,67,2274,2285,68,1028,93,5,251,2, False
WY,87,415, no, no,0,151,83,2567,2197,116,1867,2039,127,918,97,3,262,5, True
IN,81,408, no, no,0,1755,67,2984,2493,85,2119,2702,98,1216,102,3,275,1, False
CO,141,415, no, no,0,1269,98,2157,180,62,153,1408,128,634,8,2,216,1, False
CO,121,408, no, yes,30,1984,129,3373,753,77,64,1812,77,815,58,3,157,3, True
WI,68,415, no, no,0,1488,70,253,2465,164,2095,1298,103,584,121,3,327,3, False
OK,125,408, no, no,0,2293,103,3898,1774,126,1508,1893,95,852,12,8,324,1, False
ID,174,408, no, no,0,1921,97,3266,1699,94,1444,1666,54,75,114,4,308,1, False
CA,116,415, no, yes,34,2686,83,4566,1782,142,1515,1663,106,748,116,3,313,2, False
MN,74,510, no, yes,33,1937,91,3293,2461,96,2092,138,92,621,146,3,394,2, False
SD,149,408, no, yes,28,1807,92,3072,1878,64,1596,2655,53,1195,126,3,34,3, False
NC,38,408, no, no,0,1312,98,223,1629,97,1385,159,106,715,82,6,221,2, False
WA,40,415, no, yes,41,1481,74,2518,1695,88,1441,2141,102,963,62,5,167,2, False
WY,43,415, yes, no,0,2515,105,4276,2128,104,1809,1578,67,71,93,4,251,0, False
MN,113,408, yes, no,0,1252,93,2128,2064,119,1754,1293,139,582,83,8,224,0, False
UT,126,408, no, no,0,2116,70,3597,2169,80,1844,1535,60,691,78,1,211,1, False
TX,150,510, no, no,0,1789,101,3041,1691,110,1437,1486,100,669,138,3,373,4, True
NJ,138,408, no, no,0,2418,93,4111,1705,83,1449,2953,104,1329,118,7,319,3, False
MN,162,510, no, yes,46,2249,97,3823,1882,84,16,2546,61,1146,121,2,327,0, False
NM,147,510, no, no,0,2486,83,4226,1489,85,1266,1725,109,776,8,4,216,3, False
NV,90,415, no, no,0,2034,146,3458,2267,117,1927,1524,105,686,73,4,197,1, False
HI,85,415, no, no,0,2358,109,4009,1572,94,1336,1882,99,847,12,3,324,0, False
MN,50,415, no, no,0,1571,90,2671,2233,72,1898,1814,111,816,61,2,165,1, False
DC,82,415, no, no,0,3003,109,5105,181,100,1539,2701,73,1215,117,4,316,0, True
NY,144,408, no, no,0,616,117,1047,771,85,655,173,99,779,82,7,221,4, True
MN,46,415, no, no,0,2141,72,364,1644,104,1397,1775,113,799,82,3,221,2, False
MD,70,408, no, no,0,1702,98,2893,1552,102,1319,2286,76,1029,15,2,405,1, False
WV,144,415, no, no,0,2011,99,3419,3035,74,258,224,119,1008,132,2,356,1, False
OR,116,415, yes, no,0,2154,104,3662,2048,79,1741,2785,109,1253,126,5,34,3, False
CO,55,408, no, yes,25,1656,123,2815,1361,95,1157,1757,90,791,11,2,297,3, False
GA,70,415, no, yes,24,2495,101,4242,2597,98,2207,2227,68,1002,98,4,265,1, False
TX,106,510, no, no,0,2106,96,358,2492,85,2118,1914,88,861,124,1,335,2, True
